06.12.2016 21:18:23;-9.8;-9.9;-6.9;5.0;-6.6;10.4;20.9;-11.9;-20.9;-18.2;-2.0;-13.5;-5.9;9.5;-16.4;-19.6;-12.7;8.0;-3.2;2.9;18.2;-0.9;-8.5;-15.9;-16.7
06.12.2016 21:20:03;15.7;1.3;-1.5;2.8;-0.4;13.1;8.5;20.1;17.2;5.0;-14.4;21.3;-0.2;17.9;-16.8;-3.4;17.2;17.1;0.6;-5.0;22.0;-21.6;-0.7;19.1;-6.6
06.12.2016 21:21:43;-11.0;-13.6;-8.9;-14.6;15.6;-2.8;20.4;-12.1;-1.6;11.9;-14.2;10.1;10.5;-12.9;-17.0;4.9;0.1;19.4;-1.3;15.3;3.4;13.3;-12.2;10.7;0.6
06.12.2016 21:23:23;5.9;21.8;-1.6;12.1;7.9;10.1;13.2;17.9;-16.7;10.0;21.2;-10.6;-18.1;9.1;-3.5;-19.4;-0.8;-17.2;7.3;-17.1;-15.3;12.4;9.0;-0.8;20.0
06.12.2016 21:25:03;-19.6;-3.7;-18.7;17.5;-19.7;9.0;10.6;6.0;-16.7;-4.8;-5.3;-2.6;-20.2;-18.2;-21.1;-2.4;5.7;5.8;-4.4;-5.3;3.9;17.5;4.6;-19.8;4.7
06.12.2016 21:26:43;-16.0;-12.2;-4.6;18.8;-10.7;11.7;-3.6;-20.7;-20.1;-20.2;16.9;0.0;-15.3;-8.9;-11.6;-14.7;-4.1;1.1;20.8;17.0;8.6;18.2;4.8;-15.6;-13.7
06.12.2016 21:28:23;2.0;-12.0;4.5;5.9;-14.4;-12.1;-20.4;7.6;17.6;-18.2;-16.0;20.5;9.4;-11.7;0.6;-9.3;-14.8;18.5;10.7;-5.7;1.9;12.3;-19.4;-4.6;11.0
06.12.2016 21:30:03;17.5;12.8;-13.4;-7.5;-6.6;-5.2;19.0;-0.3;-3.6;-9.0;12.4;1.2;-10.3;-10.6;5.7;-17.2;18.1;20.2;-21.5;12.9;-11.5;-13.7;-12.9;-5.2;7.8
06.12.2016 21:31:43;9.0;9.3;7.4;1.3;10.4;4.6;-11.9;-19.1;-7.6;11.1;-1.2;-19.9;5.6;-4.8;-5.5;1.1;6.9;-15.4;-13.2;13.1;-1.1;19.4;-5.2;-11.7;21.1
06.12.2016 21:33:23;-15.1;9.2;18.2;9.8;1.0;-10.2;-17.3;-19.1;0.2;-0.8;-7.1;-8.5;-16.8;20.4;-15.3;13.3;-20.7;-21.6;15.4;-9.9;-12.9;-21.2;3.5;3.7;-8.0
